"order_id","order_date","salesperson_id","product_id","channel","region","country","quantity","discount"
"ORD-10001","2024-11-23","S-02","P-101","Partner","EMEA","Portugal",9,"5"
"ORD-10002","2024-04-24","S-03","P-402","Online","APAC","Singapore",22,"20"
"ORD-10003","2024-10-29","S-07","P-101","Online","EMEA","Kenya",3,"0"
"ORD-10004","2024-04-29","S-09","P-303","Online","Americas","Brazil",18,"15"
"ORD-10005","2024-11-28","S-09","P-203","Online","Americas","Brazil",15,"10"
"ORD-10006","2024-01-04","S-03","P-402","Retail","APAC","Singapore",11,"10"
"ORD-10007","2024-03-20","S-04","P-403","Retail","Americas","Mexico",4,"0"
"ORD-10008","2024-07-13","S-02","P-202","Retail","EMEA","Portugal",20,"15"
"ORD-10009","2024-01-23","S-08","P-302","Online","APAC","Japan",13,"10"
"ORD-10010","2024-10-09","S-05","P-501","Partner","Americas","United States",20,"15"
"ORD-10011","2024-10-22","S-04","P-402","Online","Americas","Mexico",2,"0"
"ORD-10012","2024-05-28","S-02","P-501","Online","EMEA","Portugal",4,"0"
"ORD-10013","2024-05-22","S-08","P-401","Retail","APAC","Japan",6,"5"
"ORD-10014","2024-06-30","S-04","P-401","Retail","Americas","Mexico",23,"20"
"ORD-10015","2024-11-07","S-03","P-302","Partner","APAC","Singapore",8,"5"
"ORD-10016","2024-08-24","S-07","P-201","Partner","EMEA","Kenya",23,"20"
"ORD-10017","2024-12-16","S-06","P-501","Online","EMEA","United Arab Emirates",8,"5"
"ORD-10018","2024-06-10","S-07","P-201","Online","EMEA","Kenya",7,"5"
"ORD-10019","2024-04-18","S-08","P-203","Partner","APAC","Japan",15,"10"
"ORD-10020","2024-05-15","S-03","P-104","Partner","APAC","Singapore",18,"15"
"ORD-10021","2024-10-26","S-07","P-502","Partner","EMEA","Kenya",13,"10"
"ORD-10022","2024-04-22","S-03","P-302","Retail","APAC","Singapore",3,"0"
"ORD-10023","2024-02-26","S-03","P-401","Online","APAC","Singapore",22,"20"
"ORD-10024","2024-11-01","S-02","P-203","Retail","EMEA","Portugal",20,"15"
"ORD-10025","2024-09-27","S-05","P-302","Online","Americas","United States",22,"20"
"ORD-10026","2024-12-15","S-09","P-403","Retail","Americas","Brazil",25,"20"
"ORD-10027","2024-02-27","S-05","P-203","Online","Americas","United States",15,"10"
"ORD-10028","2024-05-14","S-09","P-403","Online","Americas","Brazil",17,"15"
"ORD-10029","2024-11-16","S-05","P-501","Partner","Americas","United States",17,"15"
"ORD-10030","2024-03-19","S-06","P-403","Online","EMEA","United Arab Emirates",18,"15"
"ORD-10031","2024-11-02","S-06","P-301","Online","EMEA","United Arab Emirates",4,"0"
"ORD-10032","2024-06-06","S-04","P-101","Online","Americas","Mexico",19,"15"
"ORD-10033","2024-02-13","S-08","P-501","Online","APAC","Japan",25,"20"
"ORD-10034","2024-03-06","S-08","P-302","Online","APAC","Japan",9,"5"
"ORD-10035","2024-04-18","S-09","P-403","Partner","Americas","Brazil",23,"20"
"ORD-10036","2024-12-31","S-05","P-203","Partner","Americas","United States",21,"20"
"ORD-10037","2024-08-12","S-09","P-301","Online","Americas","Brazil",8,"5"
"ORD-10038","2024-02-02","S-06","P-101","Partner","EMEA","United Arab Emirates",18,"15"
"ORD-10039","2024-10-28","S-04","P-101","Online","Americas","Mexico",23,"20"
"ORD-10040","2024-04-27","S-02","P-502","Online","EMEA","Portugal",11,"10"
"ORD-10041","2024-09-20","S-04","P-201","Partner","Americas","Mexico",16,"15"
"ORD-10042","2024-10-03","S-03","P-402","Partner","APAC","Singapore",19,"15"
"ORD-10043","2024-05-04","S-08","P-403","Retail","APAC","Japan",7,"5"
"ORD-10044","2024-02-19","S-07","P-202","Retail","EMEA","Kenya",14,"10"
"ORD-10045","2024-01-28","S-02","P-101","Retail","EMEA","Portugal",24,"20"
"ORD-10046","2024-02-25","S-04","P-104","Online","Americas","Mexico",18,"15"
"ORD-10047","2024-03-12","S-07","P-103","Retail","EMEA","Kenya",15,"10"
"ORD-10048","2024-02-08","S-08","P-403","Partner","APAC","Japan",4,"0"
"ORD-10049","2024-11-29","S-09","P-501","Online","Americas","Brazil",3,"0"
"ORD-10050","2024-03-26","S-07","P-301","Retail","EMEA","Kenya",7,"5"
